"UniversityName","FinancialAid","Tuition","AdmissionRate","ApplicationFee"
"Charlotte Christian College and Theological Seminary","","","","40"
"Charter College",""," in-state  out-of-state ","","20"
"Charter Oak State College","","10161 in-state and 13101 out-of-state ","","75"
"Chatfield College","","","","10"
"Chatham University","29499","37611 in-state and 37611 out-of-state ","55","35"
"Chattahoochee Technical College","","3350 in-state and 6020 out-of-state ","","25"
"Chattahoochee Valley Community College","","4560 in-state and 8670 out-of-state ","","0"
"Chattanooga State Community College","","4459 in-state and 17684 out-of-state ","","0"
"Chemeketa Community College","5909","4725 in-state and 12960 out-of-state ","","0"
"Chesapeake College","4072","4760 in-state and 9110 out-of-state ","","0"
"Chestnut Hill College","30165","36180 in-state and 36180 out-of-state ","96","35"
"Cheyney University of Pennsylvania","","9479 in-state and 14495 out-of-state ","46","24"
"Chicago State University","","12177 in-state and 20877 out-of-state ","78","25"
"Chief Dull Knife College","","2260 in-state and 2260 out-of-state ","","0"
"Chipola College","","3160 in-state and 8990 out-of-state ","","0"
"Chippewa Valley Technical College","","4364 in-state and 6377 out-of-state ","","30"
"Chowan University","24408","24980 in-state and 24980 out-of-state ","63","20"
"Christendom College","18467","26360 in-state and 26360 out-of-state ","89","0"
"Christian Brothers University","27968","32820 in-state and 32820 out-of-state ","","25"
"Christopher Newport University","9535","14754 in-state and 27220 out-of-state ","72","65"
"Cincinnati Christian University","","","","40"
"Cincinnati College of Mortuary Science","","20475 in-state and 20475 out-of-state ","","0"
"Cincinnati School of Medical Massage","","","","40"
"Cincinnati State Technical and Community College","","5242 in-state and 10001 out-of-state ","","0"
"Citrus College","","1450 in-state and 9520 out-of-state ","","0"
"City College of San Francisco","","1414 in-state and 8644 out-of-state ","","0"
"City College: Altamonte Springs","","14550 in-state and 14550 out-of-state ","","25"
"City College: Fort Lauderdale","","14550 in-state and 14550 out-of-state ","","40"
"City Colleges of Chicago: Harold Washington College","","3504 in-state and 11544 out-of-state ","","0"
"City Colleges of Chicago: Harry S. Truman College","","3504 in-state and 11544 out-of-state ","","0"
"City Colleges of Chicago: Kennedy-King College","","3504 in-state and 11544 out-of-state ","","0"
"City Colleges of Chicago: Malcolm X College","","3504 in-state and 11544 out-of-state ","","0"
"City Colleges of Chicago: Olive-Harvey College","","3504 in-state and 11544 out-of-state ","","0"
"City Colleges of Chicago: Richard J. Daley College","","3504 in-state and 11544 out-of-state ","","0"
"City Colleges of Chicago: Wilbur Wright College","","3504 in-state and 11544 out-of-state ","","0"
"City University of New York: Baruch College","","7261 in-state and 18531 out-of-state ","29","65"
"City University of New York: Borough of Manhattan Community College","","5169 in-state and 9969 out-of-state ","98","65"
"City University of New York: Bronx Community College","","5205 in-state and 10005 out-of-state ","","65"
"City University of New York: Brooklyn College","5413","7240 in-state and 18510 out-of-state ","40","65"
"City University of New York: City College","9212","7140 in-state and 18410 out-of-state ","41","65"
"City University of New York: College of Staten Island","8489","7289 in-state and 18559 out-of-state ","100","65"
"City University of New York: Hostos Community College","","5206 in-state and 10006 out-of-state ","","65"
"City University of New York: Hunter College","9039","7180 in-state and 18450 out-of-state ","40","65"
"City University of New York: John Jay College of Criminal Justice","8610","7270 in-state and 18540 out-of-state ","55","65"
"City University of New York: Kingsborough Community College","","5253 in-state and 10053 out-of-state ","","65"
"City University of New York: LaGuardia Community College","6355","5217 in-state and 10017 out-of-state ","","70"
"City University of New York: Lehman College","11322","7209 in-state and 18479 out-of-state ","35","65"
"City University of New York: Medgar Evers College","","7153 in-state and 18423 out-of-state ","100","65"
"City University of New York: New York City College of Technology","","7120 in-state and 18390 out-of-state ","","65"
"City University of New York: Queens College","5503","7338 in-state and 18608 out-of-state ","43","65"
"City University of New York: Queensborough Community College","","5209 in-state and 10009 out-of-state ","97","65"
"City University of New York: York College","","7157 in-state and 18427 out-of-state ","","65"
"City University of Seattle",""," in-state  out-of-state ","","50"
"Clackamas Community College","","4944 in-state and 12414 out-of-state ","","0"
"Claflin University","","16622 in-state and 16622 out-of-state ","","30"
"Claremont McKenna College","51688","54405 in-state and 54405 out-of-state ","10","70"
"Clarendon College","","3390 in-state and 4320 out-of-state ","","0"
"Clarion University of Pennsylvania","9315","11175 in-state and 15033 out-of-state ","95","40"
"Clark Atlanta University","7098","23436 in-state and 23436 out-of-state ","58","35"
"Clark College","","4287 in-state and 9718 out-of-state ","100","25"
"Clark State Community College","","4480 in-state and 8420 out-of-state ","","15"
"Clark University","33772","45730 in-state and 45730 out-of-state ","56","60"
"Clarke University","27084","33350 in-state and 33350 out-of-state ","63","25"
"Clarks Summit University","","23890 in-state and 23890 out-of-state ","55","30"
"Clarkson University","45835","49444 in-state and 49444 out-of-state ","66","50"
"Clatsop Community College","","5130 in-state and 9720 out-of-state ","","15"
"Clayton State University","9067","6410 in-state and 19486 out-of-state ","48","40"
"Clear Creek Baptist Bible College","8488","9440 in-state and 9440 out-of-state ","","40"
"Cleary University","","20250 in-state and 20250 out-of-state ","","25"
"Clemson University","13131","14970 in-state and 36724 out-of-state ","47","70"
"Cleveland Community College","","2372 in-state and 8132 out-of-state ","","0"
"Cleveland Institute of Art","25606","42055 in-state and 42055 out-of-state ","55","40"
"Cleveland Institute of Music","35778","41987 in-state and 41987 out-of-state ","43","110"
"Cleveland State Community College","3440","4539 in-state and 17445 out-of-state ","100","0"
"Cleveland State University","9234","10625 in-state and 14992 out-of-state ","90","40"
"Clinton College","10959","10020 in-state and 10020 out-of-state ","","25"
"Clinton Community College","8884","6090 in-state and 11096 out-of-state ","74","0"
"Cloud County Community College","","3030 in-state and 3470 out-of-state ","","0"
"Clover Park Technical College","","4271 in-state and 4271 out-of-state ","","50"
"Clovis Community College","","","","0"
"Coahoma Community College","","2996 in-state and 3446 out-of-state ","","0"
"Coastal Bend College","","2646 in-state and 4956 out-of-state ","","0"
"Coastal Carolina Community College","","2492 in-state and 8636 out-of-state ","","0"
"Coastal Carolina University","10509","11536 in-state and 26648 out-of-state ","61","45"
"Coastal Pines Technical College","","3248 in-state and 5918 out-of-state ","","25"
"Coastline Community College","","1400 in-state and 9530 out-of-state ","","0"
"Cochise College","5979","2550 in-state and 7800 out-of-state ","100","0"
"Cochran School of Nursing","","11302 in-state and 11302 out-of-state ","","50"
"Coconino County Community College","","3480 in-state and 11655 out-of-state ","","0"
"Coe College","","","56","30"
"Coffeyville Community College","","2160 in-state and 3630 out-of-state ","100","0"
"Cogswell Polytechnical College","","39112 in-state and 20056 out-of-state ","65","0"
"Coker College","25948","29328 in-state and 29328 out-of-state ","62","0"
"Colby College","51118","55210 in-state and 55210 out-of-state ","16","0"
"Colby Community College","","3616 in-state and 5504 out-of-state ","","0"
"Colgate University","53246","55870 in-state and 55870 out-of-state ","28","60"
"College America - Phoenix","","","","50"
"College for Creative Studies","","44110 in-state and 44110 out-of-state ","47","0"
"College of Alameda","","1416 in-state and 9606 out-of-state ","","0"
"College of Biblical Studies-Houston","25794","8590 in-state and 8590 out-of-state ","","40"
"College of Business and Technology: Flagler","","12222 in-state and 12222 out-of-state ","","25"
"College of Business and Technology: Hialeah","","12222 in-state and 12222 out-of-state ","","25"
"College of Central Florida","","3213 in-state and 12656 out-of-state ","37","30"
"College of Charleston","13986","12738 in-state and 31920 out-of-state ","80","50"
"College of Coastal Georgia","","3971 in-state and 10578 out-of-state ","95","25"
"College of DuPage","5607","4080 in-state and 11790 out-of-state ","","20"
"College of Eastern Idaho","","5205 in-state and 8301 out-of-state ","","15"
"College of Idaho","25141","30155 in-state and 30155 out-of-state ","76","0"
"College of Lake County","","4230 in-state and 13110 out-of-state ","","0"
"College of Marin","","1418 in-state and 11018 out-of-state ","","0"
"College of Menominee Nation","5470","7600 in-state and 7600 out-of-state ","","0"
"College of San Mateo","","1418 in-state and 8648 out-of-state ","","0"
"College of Southern Idaho","","4200 in-state and 8550 out-of-state ","","10"
"College of Southern Maryland","","3825 in-state and 8580 out-of-state ","","0"
"College of Southern Nevada","","3458 in-state and 10370 out-of-state ","","10"
"College of St. Benedict","35942","45264 in-state and 45264 out-of-state ","91","0"
"College of St. Elizabeth","32253","33613 in-state and 33613 out-of-state ","65","35"
"College of St. Joseph in Vermont","","18520 in-state and 18520 out-of-state ","","0"
"College of St. Scholastica","31038","37212 in-state and 37212 out-of-state ","68","0"
"College of the Albemarle","","2407 in-state and 8167 out-of-state ","","0"
"College of the Atlantic","47010","43542 in-state and 43542 out-of-state ","68","50"
"College of the Canyons","","1154 in-state and 7034 out-of-state ","","0"
"College of the Desert","","1420 in-state and 8890 out-of-state ","","0"
"College of the Holy Cross","40451","52770 in-state and 52770 out-of-state ","40","60"
"College of the Mainland","4858","1773 in-state and 3873 out-of-state ","","0"
"College of the Muscogee Nation","","6600 in-state and 6600 out-of-state ","","0"
"College of the Ouachitas","4463","3680 in-state and 6530 out-of-state ","","0"
"College of the Ozarks","14847","19360 in-state and 19360 out-of-state ","16","0"
"College of the Redwoods","","1418 in-state and 9188 out-of-state ","","0"
"College of the Sequoias","","1450 in-state and 8560 out-of-state ","","0"
"College of the Siskiyous","","1430 in-state and 9170 out-of-state ","","0"
"College of Westchester","","23350 in-state and 23350 out-of-state ","98","40"
"College of Western Idaho","","4170 in-state and 9180 out-of-state ","","0"
"College of William and Mary","22147","23400 in-state and 44701 out-of-state ","36","75"
"College of Wooster","42174","50250 in-state and 50250 out-of-state ","56","0"
"CollegeAmerica: Colorado Springs",""," in-state  out-of-state ","","0"
"CollegeAmerica: Denver",""," in-state  out-of-state ","","25"
"CollegeAmerica: Fort Collins",""," in-state  out-of-state ","","0"
